Name,Holding Type,Shares,Settlement Price,Market Value,Coupon Rate,Client Sector,Client Country,Moody's Rating,S&P Rating,Maturity,
Morgan Stanley Finance LLC,Corporate Debt,40000,48.53,19410.12,0,Asset Management,United States,,,2037-04-28T05:00:00,
Morgan Stanley,Corporate Debt,36000,53.31,19191.28,0,Asset Management,United States,,,2035-02-27T06:00:00,
"BlackRock MuniHoldings New York Quality Fund, Inc.",Mutual Funds,1803,10.25,18480.75,,Closed-end Funds,United States,,,,
"Metals Acquisition, Ltd.",Rights and Warrants,7796,2.37,18476.52,,Pre-Merger SPAC,Australia,,,2028-06-16T05:00:00,
Morgan Stanley,Corporate Debt,32000,54.84,17549.12,0,Asset Management,United States,,,2034-10-08T05:00:00,
Deezer SA,Common Stock,8179,1.96,17064.5,,Internet Media & Services,France,,,,
Jmi Ln Trs:bf7l8p1,Contract for Difference,225969,3.19,16941.53,,Investment Trust,Great Britain,,,2024-10-31T05:00:00,
Mff At Trs:b1j87t9,Contract for Difference,365000,3.54,16551.25,,Closed-End Funds,Multi-Country,,,2024-07-15T05:00:00,
Nuveen AMT-Free Quality Municipal Income Fund,Mutual Funds,1548,10.64,16470.72,,Closed-end Funds,United States,,,,
"Gores Holdings IX, Inc.",Rights and Warrants,40512,0.39,15819.94,,Pre-Merger SPAC,United States,,,2029-01-14T06:00:00,
"AT&T, Inc. CDS USD SR 2Y 06/25",Contract for Difference,-2249000,-0.7,15668.97,1,Wireless Telecommunications,United States,,,2025-06-20T05:00:00,
"Neuberger Berman Municipal Fund, Inc.",Mutual Funds,1548,10.09,15619.32,,Closed-end Funds,United States,,,,
Morgan Stanley,Corporate Debt,25000,61.17,15292.63,0,Asset Management,United States,,,2030-04-30T05:00:00,
"Bleuacacia, Ltd.",Rights and Warrants,201609,0.08,15120.68,,Pre-Merger SPAC,United States,,,,
Morgan Stanley,Corporate Debt,26000,58.02,15084.76,0,Asset Management,United States,,,2034-03-31T05:00:00,
Brsc Ln Trs:0643610,Contract for Difference,117569,14.1,14690.8,,Investment Trust,Great Britain,,,2024-10-31T05:00:00,
GMP Borrower LLC,Bank Loan,15051.78,93.5,14073.41,9.82,Oil & Gas Producers,United States,,,2027-10-28T05:00:00,
Southern Co.,Contract for Difference,-847000,-1.65,13989.03,1,Electric Utilities,United States,,,2026-06-20T05:00:00,
Morgan Stanley Finance LLC,Corporate Debt,25000,55,13750.9,0,Asset Management,United States,,,2037-05-31T05:00:00,
"BlackRock MuniHoldings Fund, Inc.",Mutual Funds,1167,11.45,13362.15,,Closed-end Funds,United States,,,,
Morgan Stanley,Corporate Debt,25000,53.37,13342.43,0,Asset Management,United States,,,2034-07-31T05:00:00,
"Brookfield Real Assets Income Fund, Inc.",Mutual Funds,1024,12.54,12840.96,,Closed-end Funds,United States,,BB-,,
Blue World Acquisition Corp.,Rights and Warrants,46604,0.27,12704.25,,Pre-Merger SPAC,United States,,,,
Morgan Stanley,Corporate Debt,25000,50.68,12668.88,0,Asset Management,United States,,,2034-11-28T06:00:00,
CSLM Acquisition Corp.,Rights and Warrants,69644,0.18,12535.92,,Pre-Merger SPAC,United States,,,2027-06-01T05:00:00,
Citadel Income Fund,Mutual Funds,7353,2.29,12231.41,,Closed-end Funds,Canada,,,,
"flyExclusive, Inc.",Rights and Warrants,27981,0.42,11787,,Transportation & Logistics,United States,,,2028-05-28T05:00:00,
"Vast Solar Pty, Ltd.",Rights and Warrants,87846,0.13,11428.76,,Renewable Energy,Australia,,,2028-06-29T05:00:00,
Screaming Eagle Acquisition Corp.,Rights and Warrants,22674,0.49,11110.26,,Pre-Merger SPAC,United States,,,2027-12-15T06:00:00,
Blockchain Coinvestors Acquisition Corp. I,Rights and Warrants,93986,0.12,10939.97,,Pre-Merger SPAC,Cayman Islands,,,2028-11-01T05:00:00,
"GCT Semiconductor Holding, Inc.",Rights and Warrants,54452,0.2,10890.4,,Semiconductors,United States,,,2028-12-31T06:00:00,
"Bitcoin Depot, Inc.",Rights and Warrants,116268,0.09,10871.06,,Technology Services,United States,,,2028-07-03T05:00:00,
Nuveen New York Quality Municipal Income Fund,Mutual Funds,973,10.64,10352.72,,Closed-end Funds,United States,,,,
"United Homes Group, Inc.",Rights and Warrants,9922,1,9922,,Home Construction,United States,,,2028-01-28T06:00:00,
Broad Capital Acquisition Corp.,Rights and Warrants,53360,0.18,9572.78,,Pre-Merger SPAC,United States,,,,
Benson Hill Inc.,Rights and Warrants,187607,0.05,9337.2,,Food,United States,,,2027-03-25T05:00:00,
Corner Growth Acquisition Corp.,Rights and Warrants,41045,0.22,9029.9,,Pre-Merger SPAC,United States,,,2027-12-31T06:00:00,
"Bitcoin Depot, Inc.",Common Stock,4449,1.96,8720.04,,Technology Services,United States,,BBB-,,
Everest Consolidator Acquisition Corp.,Rights and Warrants,50492,0.17,8454.89,,Pre-Merger SPAC,United States,,,2028-07-19T05:00:00,
Scp Ln Trs:0610841,Contract for Difference,42259,5.76,8448.73,,Investment Trust,Great Britain,,,,
Churchill Capital Corp. VII,Rights and Warrants,26731,0.31,8286.61,,Pre-Merger SPAC,United States,,,2028-02-29T06:00:00,
Nuveen Massachusetts Quality Municipal Income Fund,Mutual Funds,788,10.45,8234.6,,Closed-end Funds,United States,,,,
Redwoods Acquisition Corp.,Rights and Warrants,29772,0.27,8038.44,,Pre-Merger SPAC,United States,,,,
Chenghe Acquisition I Co.,Rights and Warrants,37849,0.21,7923.69,,Pre-Merger SPAC,United States,,,2028-01-25T06:00:00,
Fintech Ecosystem Development Corp.,Rights and Warrants,54704,0.14,7795.32,,Pre-Merger SPAC,United States,,,2028-12-31T06:00:00,
"Pioneer Municipal High Income Advantage Fund, Inc.",Mutual Funds,961,7.81,7505.41,,Closed-end Funds,United States,,,,
Critical Metals Corp.,Rights and Warrants,43590,0.17,7410.3,,Metals & Mining,Austria,,,2028-06-06T05:00:00,
Zeo Energy Corp.,Rights and Warrants,61117,0.12,7315.7,,Renewable Energy,United States,,,2029-03-14T05:00:00,
MFS High Income Municipal Trust,Mutual Funds,2068,3.53,7300.04,,Closed-end Funds,United States,,,,
Mountain & Co. I Acquisition Corp.,Rights and Warrants,62660,0.12,7296.76,,Pre-Merger SPAC,United States,,,2026-09-30T05:00:00,
Yamadai Corp.,Rights and Warrants,14696,0.49,7201.04,,Retail - Discretionary,Japan,,,2028-12-31T06:00:00,
Integrated Rail and Resources Acquisition Corp.,Rights and Warrants,48874,0.14,7084.29,,Pre-Merger SPAC,United States,,,2026-11-12T06:00:00,
CSLM Acquisition Corp.,Rights and Warrants,38488,0.18,6927.84,,Pre-Merger SPAC,United States,,,2027-06-01T05:00:00,
"Pinstripes Holdings, Inc.",Rights and Warrants,45560,0.15,6834,,Leisure Facilities & Services,United States,,,2028-09-30T05:00:00,
Abrdn Diversified Income and Growth PLC,Mutual Funds,7080,0.76,6758.95,,Closed-end Funds,Great Britain,,,,
Credit Suisse AG,Corporate Debt,10000,65.72,6571.52,0,Asset Management,Switzerland,,,2030-07-31T05:00:00,
"Syntec Optics Holdings, Inc.",Rights and Warrants,31515,0.2,6299.85,,Semiconductors,United States,,,2026-11-08T06:00:00,
Atlantic Coastal Acquisition Corp. II,Rights and Warrants,80774,0.08,6179.21,,Pre-Merger SPAC,United States,,,2028-06-02T05:00:00,
Rigel Resource Acquisition Corp.,Rights and Warrants,30628,0.2,6156.23,,Pre-Merger SPAC,United States,,,2026-11-05T06:00:00,
"Captivision, Inc.",Rights and Warrants,43794,0.14,6131.16,,Construction Materials,United States,,,2028-11-16T06:00:00,
"Roadzen, Inc.",Rights and Warrants,55430,0.11,6028.01,,Insurance,United States,,,2028-11-30T06:00:00,
Unisys Corp. CDS USD 5Y 6/28,Contract for Difference,286000,2.1,6014.54,5,Technology Services,United States,,,2028-06-20T05:00:00,
abrdn Global Dynamic Dividend Fund,Mutual Funds,634,9.31,5902.54,,Closed-End Funds,United States,,,,
"BitFuFu, Inc.",Rights and Warrants,34348,0.17,5839.16,,Technology Services,Singapore,,,2028-06-07T05:00:00,
European Smaller Companies,Mutual Funds,2626,1.73,5689.79,,Closed-End Funds,Multi-Country,,,,
Cartica Acquisition Corp.,Rights and Warrants,74354,0.08,5580.27,,Pre-Merger SPAC,United States,,,2028-04-30T05:00:00,
HNR Acquisition Corp.,Rights and Warrants,44874,0.12,5384.88,,Pre-Merger SPAC,United States,,,2028-07-29T05:00:00,
BurTech Acquisition Corp.,Rights and Warrants,20396,0.26,5302.96,,Pre-Merger SPAC,United States,,,2026-12-18T06:00:00,
Morgan Stanley,Corporate Debt,10000,52.93,5293.14,0,Asset Management,United States,,,2034-08-29T05:00:00,
Morgan Stanley Finance LLC,Corporate Debt,10000,52.6,5259.97,0,Asset Management,United States,,,2036-04-28T05:00:00,
Pegasus Digital Mobility Acquisition Corp.,Common Stock,4456,1.16,5168.96,,Pre-Merger SPAC,Cayman Islands,,,,
LAMF Global Ventures Corp. I,Common Stock,63179,0.08,5054.32,,Pre-Merger SPAC,United States,,,2026-11-11T06:00:00,
AIB Acquisition Corp.,Rights and Warrants,41417,0.12,4992.82,,Pre-Merger SPAC,United States,,,,
A SPAC II Acquisition Corp.,Rights and Warrants,68843,0.07,4853.43,,Pre-Merger SPAC,Singapore,,,,
"Zooz Power, Ltd.",Common Stock,1648,2.93,4828.64,,Electrical Equipment,Israel,,,,
Papaya Growth Opportunity Corp. I,Rights and Warrants,76584,0.06,4786.5,,Pre-Merger SPAC,United States,,,2028-12-31T06:00:00,
Bemo Ln Trs:3227334,Contract for Difference,37500,5.48,4685.8,,Investment Trust,Multi-Country,,,2024-06-10T05:00:00,
"Conduit Pharmaceuticals, Inc.",Rights and Warrants,51468,0.09,4632.12,,Biotech & Pharma,United States,,,2027-02-03T06:00:00,
NorthView Acquisition Corp.,Rights and Warrants,38482,0.12,4631.31,,Pre-Merger SPAC,United States,,,,
Evergreen Corp.,Rights and Warrants,70092,0.07,4555.98,,Pre-Merger SPAC,Malaysia,,,2027-02-15T06:00:00,
IQOR,Common Stock,4941,0.92,4530.9,,Technology Services,United States,,,,
Energy Transition Partners BV,Rights and Warrants,16852,0.25,4496.12,,Pre-Merger SPAC,Netherlands,,,2026-07-16T05:00:00,
"Allurion Technologies, Inc.",Rights and Warrants,16492,0.27,4451.19,,Medical Equipment & Devices,United States,,,2030-08-01T05:00:00,
Sagaliam Acquisition Corp.,Rights and Warrants,84310,0.05,4422.06,,Pre-Merger SPAC,United States,,,,
"Baker Steel Resources Trust, Ltd. TRS",Contract for Difference,350000,0.5,4373.41,,Investment Trust,Great Britain,,,2024-06-03T05:00:00,
Chain Bridge I,Rights and Warrants,33367,0.13,4366.07,,Pre-Merger SPAC,United States,,,2028-12-31T06:00:00,
Jaws Mustang Acquisition Corp.,Rights and Warrants,19820,0.22,4360.4,,Pre-Merger SPAC,United States,,,2026-01-30T06:00:00,
"abrdn Emerging Markets Equity Income Fund, Inc.",Mutual Funds,865,5.02,4342.3,,Closed-end Funds,United States,,,,
Welsbach Technology Metals Acquisition Corp.,Rights and Warrants,29572,0.14,4280.55,,Pre-Merger SPAC,United States,,,,
"AllianceBernstein National Municipal Income Fund, Inc.",Mutual Funds,396,10.49,4154.04,,Closed-end Funds,United States,,,,
Capitalworks Emerging Markets Acquisition Corp.,Rights and Warrants,69120,0.06,4147.2,,Pre-Merger SPAC,United States,,,2028-04-27T05:00:00,
"24 Hour Fitness Worldwide, Inc.",Preferred Stock,407959,0.01,4079.59,,Leisure Facilities & Services,United States,,,,
"Bleuacacia, Ltd.",Rights and Warrants,100804,0.04,4032.16,,Pre-Merger SPAC,United States,,,2024-06-21T05:00:00,
"BlackRock MuniYield New York Quality Fund, Inc.",Mutual Funds,398,10.04,3995.92,,Closed-end Funds,United States,,,,
Spring Valley Acquisition Corp. II,Rights and Warrants,27147,0.15,3936.32,,Pre-Merger SPAC,United States,,,2026-09-10T05:00:00,
Global Technology Acquisition Corp. I,Rights and Warrants,23734,0.17,3916.11,,Pre-Merger SPAC,United States,,,2026-07-13T05:00:00,
"Solidion Technology, Inc.",Rights and Warrants,29262,0.13,3804.06,,Pre-Merger SPAC,United States,,,2026-11-16T06:00:00,
BNY Mellon High Yield Strategies Fund,Mutual Funds,1628,2.31,3760.68,,Closed-end Funds,United States,,,,
Concord Acquisition Corp. II,Rights and Warrants,25741,0.15,3732.45,,Pre-Merger SPAC,United States,,,2028-12-31T06:00:00,
"Spectaire Holdings, Inc.",Rights and Warrants,58258,0.06,3495.48,,Industrial Intermediate Prod,United States,,,2028-10-17T05:00:00,
Canna-Global Acquisition Corp.,Rights and Warrants,154766,0.02,3404.85,,Pre-Merger SPAC,United States,,,2028-02-09T06:00:00,
Global Blockchain Acquisition Corp.,Rights and Warrants,40470,0.08,3237.6,,Pre-Merger SPAC,United States,,,,
ShoulderUp Technology Acquisition Corp.,Rights and Warrants,94845,0.03,3215.25,,Pre-Merger SPAC,United States,,,2026-11-17T06:00:00,
Patria Latin American Opportunity Acquisition Corp.,Rights and Warrants,46145,0.07,3082.49,,Pre-Merger SPAC,Cayman Islands,,,2027-03-10T06:00:00,
Metal Sky Star Acquisition Corp.,Rights and Warrants,40420,0.08,3039.58,,Pre-Merger SPAC,United States,,,,
EVe Mobility Acquisition Corp.,Rights and Warrants,27110,0.11,3039.03,,Pre-Merger SPAC,United States,,,2028-05-12T05:00:00,
"BlackRock MuniHoldings Quality Fund II, Inc.",Mutual Funds,310,9.75,3022.5,,Closed-end Funds,United States,,,,
Invesco California Value Municipal Income Trust,Mutual Funds,311,9.6,2985.6,,Closed-end Funds,United States,,,,
Digital Health Acquisition Corp.,Rights and Warrants,17736,0.17,2967.23,,Pre-Merger SPAC,United States,,,2028-11-04T05:00:00,
Yotta Acquisition Corp.,Rights and Warrants,29452,0.1,2962.87,,Pre-Merger SPAC,United States,,,,
"DIH Holdings US, Inc.",Rights and Warrants,63578,0.05,2908.69,,Medical Equipment & Devices,United States,,,2028-02-07T06:00:00,
Blue World Acquisition Corp.,Rights and Warrants,23302,0.12,2796.24,,Pre-Merger SPAC,United States,,,2029-01-10T06:00:00,
FTAC Emerald Acquisition Corp.,Rights and Warrants,27108,0.1,2748.75,,Pre-Merger SPAC,United States,,,2028-08-22T05:00:00,
Investcorp Europe Acquisition Corp. I,Rights and Warrants,24645,0.11,2723.27,,Pre-Merger SPAC,United States,,,2028-11-23T06:00:00,
"Zapata Computing Holdings, Inc.",Rights and Warrants,24523,0.11,2673.01,,Software,United States,,,2028-03-23T05:00:00,
ClimateRock,Rights and Warrants,23557,0.11,2566.54,,Pre-Merger SPAC,Great Britain,,,2027-06-01T05:00:00,
TLGY Acquisition Corp.,Rights and Warrants,68311,0.04,2561.66,,Pre-Merger SPAC,United States,,,2028-01-14T06:00:00,
RF Acquisition Corp.,Rights and Warrants,19704,0.13,2551.67,,Pre-Merger SPAC,Singapore,,,,
Ross Acquisition Corp. II,Rights and Warrants,28225,0.09,2545.9,,Pre-Merger SPAC,United States,,,2026-02-12T06:00:00,
Valuence Merger Corp. I,Rights and Warrants,60778,0.04,2525.33,,Pre-Merger SPAC,United States,,,2027-03-01T06:00:00,
24 Hour Fitness Worldwide,Common Stock,306005,0.01,2448.04,,Leisure Facilities & Services,United States,,,,
PowerUp Acquisition Corp.,Rights and Warrants,70545,0.03,2437.33,,Pre-Merger SPAC,United States,,,2027-02-18T06:00:00,
Investcorp India Acquisition Corp.,Rights and Warrants,37472,0.06,2405.7,,Pre-Merger SPAC,Cayman Islands,,,2027-06-28T05:00:00,
"Brand Engagement Network, Inc.",Rights and Warrants,25249,0.1,2398.66,,Software,United States,,,2029-03-14T05:00:00,
RCF Acquisition Corp.,Rights and Warrants,31463,0.08,2359.73,,Pre-Merger SPAC,United States,,,2026-11-10T06:00:00,
Voya Global Advantage and Premium Opportunity Fund,Mutual Funds,260,8.84,2298.4,,Closed-end Funds,United States,,,,
"Borealis Foods, Inc.",Rights and Warrants,20287,0.11,2231.57,,Food,Canada,,,2026-08-26T05:00:00,
Mars Acquisition Corp.,Rights and Warrants,10247,0.22,2213.35,,Pre-Merger SPAC,United States,,,,
DWS Strategic Municipal Income Trust,Mutual Funds,228,9.51,2168.28,,Investment Trust,United States,,,,
Nuveen Municipal Credit Income Fund,Mutual Funds,184,11.69,2150.96,,Closed-end Funds,United States,,,,
Relativity Acquisition Corp.,Rights and Warrants,45142,0.05,2126.19,,Pre-Merger SPAC,United States,,,2027-02-11T06:00:00,
Bellevue Life Sciences Acquisi,Rights and Warrants,14638,0.14,2078.6,,Pre-Merger SPAC,United States,,,2045-12-31T06:00:00,
"Psyence Biomedical, Ltd.",Rights and Warrants,30398,0.07,2045.79,,Biotech & Pharma,Canada,,,2029-01-25T06:00:00,
"LeddarTech Holdings, Inc.",Rights and Warrants,21521,0.09,2025.13,,Engineering & Construction,Canada,,,2028-12-21T06:00:00,
"Alternus Clean Energy, Inc.",Rights and Warrants,49587,0.04,1983.48,,Pre-Merger SPAC,United States,,,2028-02-24T06:00:00,
Finnovate Acquisition Corp.,Rights and Warrants,71462,0.03,1972.35,,Pre-Merger SPAC,Cayman Islands,,,2026-09-30T05:00:00,
"Zoomcar Holdings, Inc.",Rights and Warrants,71433,0.03,1932.26,,Internet Media & Services,United States,,,2028-07-01T05:00:00,
Future Health ESG Corp.,Rights and Warrants,37402,0.05,1873.84,,Pre-Merger SPAC,United States,,,2026-09-09T05:00:00,
Battery Future Acquisition Corp.,Rights and Warrants,36968,0.05,1848.4,,Pre-Merger SPAC,United States,,,2028-05-26T05:00:00,
Target Global Acquisition I Corp.,Rights and Warrants,18073,0.1,1808.2,,Pre-Merger SPAC,Israel,,,2027-12-31T06:00:00,
Arverne Group SA,Rights and Warrants,33822,0.05,1804.74,,Renewable Energy,France,,,2026-06-16T05:00:00,
Ker Fp Trs:5505072,Contract for Difference,69279.75,100,1739.28,3.51,Apparel & Textile Products,France,,,,
Vision Sensing Acquisition Corp.,Rights and Warrants,49182,0.03,1718.91,,Pre-Merger SPAC,United States,,,2026-11-01T05:00:00,
Pearl Holdings Acquisition Corp.,Rights and Warrants,18484,0.09,1701.45,,Pre-Merger SPAC,United States,,,2026-12-15T06:00:00,
10X Capital Venture Acquisition Corp. III,Rights and Warrants,55754,0.03,1689.35,,Pre-Merger SPAC,United States,,,2028-06-30T05:00:00,
NorthView Acquisition Corp.,Rights and Warrants,19197,0.09,1655.74,,Pre-Merger SPAC,United States,,,2027-08-02T05:00:00,
Kairous Acquisition Corp. ltd,Rights and Warrants,13555,0.12,1639.48,,Pre-Merger SPAC,Malaysia,,,2026-09-15T05:00:00,
"Inception Growth Acquisition, Ltd.",Rights and Warrants,7394,0.22,1618.18,,Pre-Merger SPAC,United States,,,,
Redwoods Acquisition Corp.,Rights and Warrants,32327,0.05,1616.35,,Pre-Merger SPAC,United States,,,2027-03-15T05:00:00,
"Cactus Acquisition Corp. 1, Ltd.",Rights and Warrants,21180,0.08,1606.5,,Pre-Merger SPAC,United States,,,2026-10-29T05:00:00,
FutureTech II Acquisition Corp.,Rights and Warrants,48383,0.03,1557.93,,Pre-Merger SPAC,United States,,,2027-02-16T06:00:00,
Hot Ln Trs:0853657,Contract for Difference,83000,2.13,1555.69,,Investment Trust,Great Britain,,,2024-06-03T05:00:00,
"CERo Therapeutics Holdings, Inc.",Rights and Warrants,21939,0.07,1535.73,,Biotech & Pharma,United States,,,2029-02-14T06:00:00,
Denali Capital Acquisition Corp.,Rights and Warrants,27621,0.06,1521.92,,Pre-Merger SPAC,United States,,,2027-04-07T05:00:00,
Iris Acquisition Corp.,Rights and Warrants,27683,0.05,1519.8,,Pre-Merger SPAC,Cayman Islands,,,2026-03-05T06:00:00,
"BlackRock MuniVest Fund II, Inc.",Mutual Funds,146,10.39,1516.94,,Closed-end Funds,United States,,,,
Graphjet Technology,Rights and Warrants,45714,0.03,1508.56,,Pre-Merger SPAC,Malaysia,,,2026-11-16T06:00:00,
Athena Technology Acquisition Corp. II,Rights and Warrants,36968,0.04,1482.42,,Pre-Merger SPAC,United States,,,2028-10-17T05:00:00,
Hsl Ln Trs:0906506,Contract for Difference,22576,7.94,1410.49,,Investment Trust,Great Britain,,,2024-10-31T05:00:00,
"Cardio Diagnostics Holdings, Inc.",Rights and Warrants,19933,0.07,1395.31,,Medical Equipment & Devices,United States,,,2026-12-01T06:00:00,
Spring Valley Acquisition Corp. II,Rights and Warrants,13573,0.1,1391.23,,Pre-Merger SPAC,United States,,,2026-02-15T06:00:00,
ExcelFin Acquisition Corp.,Rights and Warrants,22349,0.06,1385.64,,Pre-Merger SPAC,United States,,,2026-10-21T05:00:00,
Nbi At Trs:bf1h4w4,Contract for Difference,425000,1.49,1376.57,,Closed-End Funds,Multi-Country,,,2024-07-15T05:00:00,
Selina Hospitality PLC,Rights and Warrants,218500,0.01,1311,,Leisure Facilities & Services,Great Britain,,,,
Nova Vision Acquisition Corp.,Rights and Warrants,31088,0.04,1304.14,,Pre-Merger SPAC,Hong Kong,,,2028-12-31T06:00:00,
Technology & Telecommunication Acquisition Corp.,Rights and Warrants,52993,0.02,1303.63,,Pre-Merger SPAC,Malaysia,,,2027-02-15T06:00:00,
Elis Fp Trs:bvss790,Contract for Difference,78920.64,100,1257.08,3.51,Commercial Support Services,France,,,2024-05-28T05:00:00,
"Volato Group, Inc.",Rights and Warrants,20757,0.06,1245.42,,Transportation & Logistics,United States,,,2028-12-03T06:00:00,
"Zooz Power, Ltd.",Rights and Warrants,24350,0.05,1241.85,,Electrical Equipment,Israel,,,2029-04-04T05:00:00,
New Providence Acquisition Corp. II,Rights and Warrants,21526,0.06,1220.52,,Pre-Merger SPAC,United States,,,2027-12-31T06:00:00,
Western Acquisition Ventures Corp.,Rights and Warrants,29980,0.04,1214.19,,Pre-Merger SPAC,United States,,,2027-01-12T06:00:00,
Aura FAT Projects Acquisition Corp.,Rights and Warrants,58439,0.02,1168.78,,Pre-Merger SPAC,Singapore,,,2027-06-02T05:00:00,
Srt3 Gr Trs:5843329,Contract for Difference,40047.6,100,1163.47,3.51,Medical Equipment & Devices,Germany,,,2025-04-30T05:00:00,
Wosg Ln Trs:bjdqq87,Contract for Difference,61204.48,100,1156.06,4.8,Apparel & Textile Products,Great Britain,,,,
Ate Fp Trs:5608915,Contract for Difference,34831,100,1139.24,3.51,Engineering & Construction,France,,,2024-05-28T05:00:00,
"BNY Mellon Strategic Municipal Bond Fund, Inc.",Mutual Funds,200,5.62,1124,,Closed-end Funds,United States,,,,
Global Blockchain Acquisition Corp.,Rights and Warrants,40470,0.03,1084.6,,Pre-Merger SPAC,United States,,,2027-05-10T05:00:00,
Mountain Crest Acquisition Corp. V,Rights and Warrants,8917,0.12,1070.04,,Pre-Merger SPAC,United States,,,,
Murano Global Investments PLC,Rights and Warrants,10493,0.1,1050.35,,Real Estate Owners & Developers,Netherlands,,,2028-06-14T05:00:00,
BlackRock Virginia Municipal Bond Trust,Mutual Funds,97,10.58,1026.26,,Investment Trust,United States,,,,
Hipgnosis Songs Fund Ltd TRS,Contract for Difference,402022,1.04,1004.7,,Closed-End Funds,Great Britain,,,2025-01-31T06:00:00,
Expn Ln Trs:b19nlv4,Contract for Difference,92793.92,100,992.24,4.8,Technology Services,Ireland,,,,
A SPAC II Acquisition Corp.,Rights and Warrants,34421,0.03,984.44,,Pre-Merger SPAC,Singapore,,,2027-05-03T05:00:00,
Dsy Fp Trs:bm8h5y5,Contract for Difference,43511.04,100,909.77,3.51,Software,France,,,,
Healthcare AI Acquisition Corp.,Rights and Warrants,18681,0.05,874.27,,Pre-Merger SPAC,Cayman Islands,,,2026-12-14T06:00:00,
Onyx Acquisition Co. I,Rights and Warrants,24790,0.03,858.97,,Pre-Merger SPAC,United States,,,2028-11-30T06:00:00,
Byit Ln Trs:bmh18q1,Contract for Difference,56368.45,100,855.14,4.8,Technology Services,Great Britain,,,2024-05-28T05:00:00,
Yotta Acquisition Corp.,Rights and Warrants,47369,0.02,824.22,,Pre-Merger SPAC,United States,,,2027-03-15T05:00:00,
APx Acquisition Corp. I,Rights and Warrants,3981,0.2,778.29,,Pre-Merger SPAC,Mexico,,,2028-08-19T05:00:00,
Gftu Ln Trs:b00mz44,Contract for Difference,109727.52,100,777.72,4.45,Retail - Discretionary,Ireland,,,,
Fintech Ecosystem Development Corp.,Rights and Warrants,27352,0.03,754.92,,Pre-Merger SPAC,United States,,,2028-12-31T06:00:00,
Liberty Resources Acquisition Corp.,Rights and Warrants,22928,0.03,735.99,,Pre-Merger SPAC,United States,,,2028-10-31T05:00:00,
"Pono Capital Two, Inc.",Rights and Warrants,9738,0.08,730.35,,Pre-Merger SPAC,United States,,,2027-09-23T05:00:00,
Cartesian Growth Corp. II,Rights and Warrants,5984,0.12,688.16,,Pre-Merger SPAC,United States,,,2028-07-12T05:00:00,
Ips Fp Trs:b188nj2,Contract for Difference,65405,100,659.53,3.51,Advertising & Marketing,France,,,2024-05-28T05:00:00,
Fortune Rise Acquisition Corp.,Rights and Warrants,15616,0.04,653.53,,Pre-Merger SPAC,United States,,,2027-12-06T06:00:00,
"Nvni Group, Ltd.",Rights and Warrants,15665,0.04,642.27,,Software,Cayman Islands,,,2028-11-01T05:00:00,
"Hwh International, Inc.",Rights and Warrants,13297,0.05,640.92,,Advertising & Marketing,United States,,,2027-02-02T06:00:00,
Roth CH Acquisition Co.,Rights and Warrants,48884,0.01,615.94,,Pre-Merger SPAC,United States,,,2028-10-29T05:00:00,
Israel Acquisitions Corp.,Rights and Warrants,8683,0.07,609.55,,Pre-Merger SPAC,United States,,,2028-02-28T06:00:00,
Ckn Ln Trs:0201836,Contract for Difference,25542,100,604.47,4.8,Transportation & Logistics,Great Britain,,,2024-05-28T05:00:00,
RF Acquisition Corp.,Rights and Warrants,19704,0.03,591.12,,Pre-Merger SPAC,Singapore,,,2028-05-01T05:00:00,
"Spree Acquisition Corp. 1, Ltd.",Rights and Warrants,20337,0.03,583.67,,Pre-Merger SPAC,Israel,,,2028-12-22T06:00:00,
"Globalink Investment, Inc.",Rights and Warrants,4837,0.12,571.25,,Pre-Merger SPAC,United States,,,2026-12-03T06:00:00,
Distoken Acquisition Corp.,Rights and Warrants,5841,0.1,559.28,,Pre-Merger SPAC,China,,,,
"New Horizon Aircraft, Ltd.",Rights and Warrants,11690,0.05,558.78,,Aerospace & Defense,United States,,,2028-04-03T05:00:00,
Metal Sky Star Acquisition Corp.,Rights and Warrants,40420,0.01,555.78,,Pre-Merger SPAC,United States,,,2027-04-01T05:00:00,
Ault Disruptive Technologies Corp.,Rights and Warrants,18483,0.03,543.4,,Pre-Merger SPAC,United States,,,2028-06-20T05:00:00,
BioMerieux NPV,Contract for Difference,33901,100,534.66,3.51,Medical Equipment & Devices,France,,,,
HHG Capital Corp.,Rights and Warrants,17425,0.03,524.49,,Pre-Merger SPAC,Hong Kong,,,2027-12-31T06:00:00,
"ZyVersa Therapeutics, Inc.",Rights and Warrants,7100,0.07,497,,Biotech & Pharma,United States,,,2026-12-20T06:00:00,
AP Acquisition Corp.,Rights and Warrants,9857,0.05,482.99,,Pre-Merger SPAC,Hong Kong,,,2026-12-07T06:00:00,
Aberdeen Diversified Income and Growth Trust PLC,Contract for Difference,95797,0.76,478.82,,Investment Trust,Multi-Country,,,2024-10-31T05:00:00,
Blue Ocean Acquisition Corp.,Rights and Warrants,16257,0.03,469.01,,Pre-Merger SPAC,United States,,,2028-10-21T05:00:00,
Macquarie/First Trust Global Infrastructure/Utilities Dividend & Income Fund,Mutual Funds,64,7.25,464,,Closed-end Funds,United States,,,,
CF Acquisition Corp. VII,Rights and Warrants,4928,0.09,455.84,,Pre-Merger SPAC,United States,,,2026-03-15T05:00:00,
